Price,Lon,Lat,Gr.Liv.Area,House.Style,Year.Remod.Add,Central.Air,Full.Bath,Half.Bath,Bedroom.AbvGr,Garage.Cars
221790,0.252148,0.018243,1040,1Story,1967,Y,1,0,3,2
271386,0.166815,0.821824,1658,2Story,1996,Y,2,1,3,2
314117,0.309852,0.828159,1983,2Story,1999,Y,2,1,3,2
363239,0.433956,0.359949,2295,2Story,2000,Y,2,1,4,2
263657,0.86263,0.758604,1422,2Story,2006,Y,2,1,3,2
258932,0.639491,0.324454,1427,SLvl,1969,Y,2,0,4,2
199610,0.946464,0.137887,952,1Story,1956,Y,1,0,2,1
277461,0.611776,0.729449,1640,2Story,2003,Y,2,1,3,2
294131,0.353103,0.385177,1309,1Story,1999,Y,1,1,3,2
187014,0.430272,0.88336,732,1Story,1952,Y,1,0,2,1
382458,0.183959,0.17716,1868,1Story,2005,Y,2,0,2,3
273981,0.633366,0.364027,1078,1Story,2008,Y,1,1,3,2
231956,0.304672,0.074575,1329,1Story,1958,Y,1,1,3,1
221682,0.21136,0.70296,1103,1Story,1974,Y,2,0,3,2
236506,0.906478,0.26787,1112,1Story,1951,Y,1,0,2,2
371445,0.780178,0.623227,2004,2Story,2002,Y,2,1,4,3
151354,0.347307,0.468585,790,1Story,1950,N,1,0,2,1
342954,0.78577,0.240993,1787,1Story,2002,Y,2,0,3,3
370024,0.703969,0.466684,2127,2Story,1994,Y,2,1,3,2
230788,0.092869,0.146479,1268,1Story,1989,Y,1,1,3,1
292475,0.144216,0.093738,1664,1Story,1985,Y,2,0,3,2
309264,0.523629,0.99042,1392,1Story,2002,Y,2,0,3,3
205240,0.171114,0.72825,894,1Story,1974,Y,1,0,3,2
NA,0.993523,0.41024,1437,1Story,1987,Y,1,1,3,2
383775,0.814813,0.034073,2006,1Story,1998,Y,2,0,2,3
253614,0.70859,0.494068,1074,1Story,1975,Y,1,1,3,2
225022,0.948775,0.677693,967,1Story,1990,Y,1,0,2,1
401479,0.786711,0.634644,2649,2Story,2002,Y,2,1,4,3
260823,0.46257,0.640666,1740,2Story,1984,Y,1,1,3,1
NA,0.600428,0.935593,1732,2Story,1985,Y,2,1,3,2
NA,0.267679,0.375898,1839,2Story,1998,Y,2,1,4,2
250868,0.02217,0.713743,1242,1Story,1973,Y,1,1,3,2
364121,0.916419,0.652938,1531,1Story,2006,Y,2,0,2,3
292415,0.458196,0.345101,1419,SLvl,2002,Y,2,1,3,2
192251,0.19992,0.367813,988,1Story,1966,Y,1,0,3,1
299060,0.35999,0.386303,1357,SLvl,2006,Y,1,0,2,1
290422,0.496274,0.159928,1384,1Story,2001,Y,1,0,2,2
NA,0.858123,0.337239,2554,2Story,1998,Y,1,1,3,2
335750,0.719199,0.969891,1995,2Story,2002,Y,2,1,4,2
241186,0.914744,0.895552,1022,1Story,2006,N,1,0,2,1
354562,0.669072,0.786456,1728,1Story,2007,Y,2,0,3,2
228255,0.359903,0.164209,1436,2Story,2000,Y,2,0,3,2
349214,0.523267,0.337902,2073,1Story,1988,Y,2,0,3,2
313644,0.829292,0.380825,1671,1Story,1986,Y,2,0,3,2
369737,0.893244,0.312001,2374,2Story,2004,Y,2,1,4,3
198894,0.777282,0.564452,955,1Story,1966,Y,1,0,3,1
442326,0.821543,0.862739,2640,2Story,1997,Y,2,1,5,2
299435,0.032846,0.549451,2403,2Story,1950,Y,2,0,4,1
361714,0.537927,0.00677,1720,1Story,2008,Y,2,0,3,3
191954,0.610667,0.280175,990,1Story,1995,Y,1,0,3,0
201819,0.957712,0.178793,816,1Story,1982,Y,1,0,2,1
321238,0.451268,0.410251,1430,SLvl,2000,Y,2,1,3,2
206937,0.02944,0.311577,943,1Story,1967,Y,1,0,2,2
313226,0.652196,0.626419,1568,1Story,1967,Y,1,1,3,2
267987,0.944917,0.747833,1560,2Story,2005,Y,2,1,3,2
294979,0.848521,0.21412,1382,SLvl,2002,Y,2,0,1,1
254411,0.974336,0.110192,1037,1Story,1974,Y,1,0,2,2
273894,0.370924,0.753581,1653,2Story,2003,Y,2,1,3,2
273124,0.048385,0.717125,1733,1Story,1955,Y,2,0,4,2
248216,0.25686,0.217197,1490,2Story,2006,Y,2,1,3,2
382540,0.381846,0.413972,2279,1Story,1995,Y,2,1,4,2
270304,0.494156,0.407685,1585,2Story,2005,Y,2,1,3,2
252911,0.953985,0.657401,990,1Story,1995,Y,1,0,3,2
273376,0.772671,0.451056,1434,1Story,1974,Y,2,0,4,2
379938,0.821985,0.802987,1630,1Story,2008,Y,2,0,3,3
386686,0.677378,0.558695,2294,SLvl,1963,Y,3,0,5,2
285761,0.646297,0.160133,1430,1Story,2005,Y,2,0,3,2
305261,0.740848,0.74323,1430,SLvl,1999,Y,2,1,3,2
478143,0.845291,0.942092,2794,2Story,1996,Y,2,1,4,3
220309,0.307371,0.689989,1242,1Story,1950,N,1,0,2,1
201708,0.645914,0.939501,935,1Story,1960,Y,1,0,2,1
378606,0.134447,0.844953,2018,1Story,2009,Y,2,0,3,3
316969,0.423646,0.463996,1484,1Story,2006,Y,2,0,2,2
273182,0.24618,0.23323,1525,1Story,2000,Y,2,0,3,2
220788,0.985124,0.915469,864,1Story,1961,Y,1,0,3,2
277853,0.634502,0.027543,1166,SLvl,2005,Y,2,0,2,2
519677,0.476183,0.374399,2674,1Story,2007,Y,2,1,2,3
347583,0.991514,0.890286,1874,2Story,2001,Y,2,1,3,2
286496,0.673559,0.433203,1200,1Story,1995,Y,2,0,3,2
279134,0.943741,0.101912,1312,1Story,2001,Y,1,1,3,2
275527,0.05781,0.868491,1509,2Story,2003,Y,2,1,3,2
NA,0.741728,0.254045,1264,1Story,1960,Y,1,0,3,2
NA,0.381857,0.496638,1610,1Story,2001,Y,2,0,3,2
191954,0.461736,0.673011,1022,1Story,1950,N,1,0,2,1
176295,0.194281,0.045449,960,1Story,1958,Y,1,0,3,0
197478,0.399183,0.902845,816,1Story,1983,Y,1,0,2,1
NA,0.516414,0.028564,985,SLvl,1977,Y,2,0,3,1
227062,0.266872,0.950126,1540,2Story,1994,Y,2,1,3,2
199721,0.47539,0.177209,914,1Story,2002,Y,1,0,3,1
192892,0.028729,0.107026,864,1Story,1970,Y,1,0,3,2
236245,0.821853,0.954165,1550,2Story,1950,Y,1,1,3,1
301716,0.675664,0.631972,1902,2Story,1950,Y,2,0,4,2
435682,0.775752,0.910983,2452,1Story,2003,Y,2,0,3,3
372432,0.049465,0.650425,2344,2Story,1997,Y,2,1,3,3
NA,0.526078,0.386436,1294,1Story,1991,Y,2,0,3,2
224066,0.230053,0.948184,900,1Story,2000,Y,1,0,3,2
254363,0.194724,0.266967,1067,1Story,1995,Y,2,0,2,2
172947,0.668459,0.299525,816,1Story,1950,Y,1,0,2,1
293484,0.635077,0.203478,1494,1Story,2002,Y,2,0,3,2
NA,0.259005,0.317224,1086,2Story,1950,N,1,0,2,2
259839,0.191837,0.522841,1424,1Story,1950,Y,2,0,2,1
385398,0.800924,0.62876,2110,1Story,1968,Y,2,1,3,2
340904,0.6344,0.581325,1628,SLvl,1997,Y,2,1,3,2
266018,0.474975,0.838291,1217,SLvl,1991,Y,2,0,3,2
267954,0.864405,0.215766,1677,2Story,2001,Y,2,1,3,2
411313,0.527115,0.308731,2758,2Story,2006,Y,2,1,4,3
254939,0.191901,0.622371,1174,1Story,1978,Y,1,0,3,2
203480,0.273398,0.213309,1144,1Story,1956,Y,1,0,3,1
256654,0.601302,0.357016,1728,2Story,1973,Y,1,1,3,1
291218,0.691214,0.589207,1392,1Story,1957,Y,1,1,3,2
308413,0.311549,0.816344,1947,2Story,2002,Y,2,1,3,3
NA,0.589652,0.766432,1478,1Story,1957,Y,1,1,3,2
NA,0.416255,0.911168,808,1Story,1995,N,1,0,1,1
192621,0.209357,0.335296,938,1Story,1980,Y,1,0,3,1
231395,0.961785,0.48775,1183,SLvl,1959,Y,1,0,3,1
370312,0.67805,0.329607,1743,1Story,2008,Y,2,0,3,3
261599,0.325958,0.133214,1444,1Story,2001,Y,2,0,3,2
248094,0.86881,0.902076,861,1Story,1950,Y,1,0,1,2
207792,0.40155,0.463158,1214,1Story,1967,Y,2,0,3,1
275461,0.125345,0.20328,1293,1Story,1954,Y,2,0,2,2
265758,0.838473,0.134963,1491,1Story,1996,Y,2,0,3,2
199298,0.556463,0.458554,924,1Story,1952,Y,1,0,2,1
262402,0.251177,0.939063,1804,2Story,1999,Y,2,1,3,2
408316,0.88894,0.67583,2443,2Story,2004,Y,2,1,4,3
185854,0.897173,0.029874,1510,2Story,1950,Y,1,0,4,1
321456,0.543474,0.204925,2184,2Story,2003,Y,2,1,4,2
280897,0.53787,0.888441,1827,2Story,1996,N,1,0,2,1
300488,0.863311,0.661493,1501,1Story,1999,Y,2,0,3,2
306132,0.587182,0.274955,2014,2Story,2005,Y,2,0,5,2
308854,0.793731,0.103356,1848,2Story,2000,Y,2,1,3,2
231388,0.500782,0.357381,1135,2Story,2007,Y,1,0,3,2
281925,0.880374,0.446985,1665,2Story,2007,Y,2,1,3,2
252422,0.124714,0.855623,1154,1Story,2006,Y,1,1,3,1
221489,0.795337,0.876266,1440,2Story,1964,Y,1,1,4,2
232336,0.6078,0.918402,1428,2Story,1970,Y,1,0,4,2
322687,0.718837,0.537787,1707,1Story,1981,Y,2,1,2,2
NA,0.265583,0.914812,1877,2Story,1974,Y,2,1,4,2
319664,0.524843,0.627587,1982,2Story,1989,Y,2,1,3,2
332389,0.892485,0.914178,1776,2Story,1996,Y,2,1,3,2
112684,0.522443,0.239819,864,2Story,1950,Y,1,1,3,1
218717,0.84755,0.412882,1150,1Story,1955,Y,1,0,2,1
NA,0.555315,0.565006,960,1Story,1958,Y,1,0,3,2
NA,0.796344,0.955165,1172,1Story,1998,Y,1,0,3,1
257099,0.55818,0.041417,968,1Story,2006,Y,1,0,2,2
277729,0.770552,0.45498,1306,1Story,2000,Y,1,0,2,1
322149,0.312605,0.463695,1872,2Story,2001,Y,2,1,3,2
273593,0.90394,0.654725,1470,2Story,1994,Y,1,1,2,2
238359,0.931147,0.715763,1009,SLvl,1977,Y,2,0,3,2
265736,0.856517,0.974177,1179,1Story,1960,Y,1,0,2,2
294711,0.856715,0.088471,1482,SLvl,1992,Y,2,1,3,2
176552,0.516845,0.539033,694,1Story,2002,N,1,0,2,1
396962,0.905544,0.966302,2450,2Story,1998,Y,2,1,3,3
205274,0.214642,0.704774,988,1Story,1961,Y,1,0,3,2
191858,0.529378,0.744629,1105,1Story,1957,Y,1,0,3,1
331380,0.185763,0.766836,1564,1Story,2007,Y,2,0,3,3
NA,0.890557,0.784675,1114,1Story,2004,Y,1,1,3,2
249710,0.551479,0.241338,1598,2Story,2005,Y,2,1,3,2
NA,0.677441,0.536172,1177,1Story,1984,Y,2,0,3,2
327006,0.661751,0.308533,1675,1Story,2000,Y,2,0,3,2
184423,0.269193,0.152397,964,1Story,1961,Y,1,0,3,2
182765,0.150908,0.887739,1510,2Story,1950,Y,1,0,3,1
298303,0.444801,0.579195,1659,2Story,2004,Y,2,1,3,2
174835,0.715595,0.000805,792,1Story,1950,Y,1,0,2,1
263423,0.26116,0.521909,2154,2Story,1997,Y,2,1,5,2
279156,0.410836,0.080404,1593,2Story,2004,Y,2,1,3,2
213931,0.125223,0.92409,1052,1Story,1963,Y,1,0,3,1
292528,0.984006,0.485636,1675,1Story,1959,Y,2,0,3,1
396763,0.719708,0.878422,2007,2Story,2008,Y,2,1,3,3
383478,0.950424,0.04575,2468,2Story,2004,Y,2,1,4,3
138898,0.940084,0.083727,800,1Story,1950,N,1,0,1,0
356270,0.205571,0.446474,1916,2Story,1999,Y,2,1,3,3
NA,0.797819,0.556543,1004,1Story,1970,Y,1,0,2,2
222602,0.135264,0.015267,901,1Story,2000,Y,1,0,2,1
295416,0.787548,0.996229,1314,1Story,2006,Y,2,0,3,2
NA,0.628504,0.794114,1690,2Story,2001,Y,2,1,3,2
202740,0.400949,0.0462,1355,2Story,2006,Y,1,1,3,0
212937,0.38249,0.745543,808,1Story,2000,Y,1,0,2,1
251223,0.803775,0.382775,1608,2Story,1997,Y,2,1,3,2
163954,0.541084,0.247593,1369,2Story,1950,N,2,0,3,1
265322,0.611931,0.592746,1114,1Story,2004,Y,1,0,3,2
331544,0.374226,0.693471,1989,2Story,2002,Y,2,1,3,2
248582,0.883587,0.191228,1387,1Story,1975,Y,1,0,3,1
185887,0.080116,0.261016,1036,1Story,1953,Y,1,0,3,1
235067,0.049684,0.790808,1422,1Story,1950,Y,1,0,3,1
242686,0.156382,0.184967,1350,1Story,1954,Y,1,1,3,2
341495,0.948582,0.206409,1636,1Story,2006,Y,2,0,3,3
280537,0.740741,0.104223,1484,1Story,1971,Y,2,0,3,2
185474,0.456534,0.143392,882,1Story,1956,Y,1,0,2,1
246857,0.229103,0.114181,1479,2Story,2004,Y,1,1,4,2
288422,0.198543,0.013175,1928,2Story,2004,Y,2,1,4,2
209309,0.107584,0.40865,1141,SLvl,1967,Y,1,0,3,1
237368,0.954622,0.172806,925,1Story,2003,Y,1,0,3,1
259738,0.152729,0.927309,1301,1Story,1950,Y,1,0,2,2
NA,0.810594,0.992328,1214,1Story,1965,Y,1,0,2,2
187612,0.696815,0.909284,1361,2Story,1950,N,1,0,2,1
189183,0.653317,0.734076,925,1Story,1955,Y,1,0,3,1
248513,0.057388,0.296549,1620,2Story,1969,Y,2,1,4,2
200651,0.889451,0.685547,935,1Story,1965,Y,1,0,3,1
207245,0.77219,0.20025,864,1Story,2002,Y,1,0,3,2
236702,0.157141,0.213258,1336,1Story,1958,Y,1,1,3,2
374340,0.850033,0.853555,1634,1Story,2006,Y,2,0,3,3
305608,0.493877,0.675944,2080,2Story,2004,Y,1,1,3,1
189362,0.079398,0.424049,1078,1Story,1950,Y,1,0,3,1
270667,0.970621,0.554485,1302,SLvl,1991,Y,2,0,3,1
263697,0.90689,0.789008,1040,1Story,1996,Y,1,0,3,2
NA,0.598581,0.665618,1288,2Story,2007,Y,1,0,3,1
199789,0.397857,0.332198,1244,1Story,1957,Y,1,1,3,1
215476,0.202957,0.377157,1180,1Story,1950,Y,1,0,2,1
259348,0.300994,0.18474,1218,1Story,2007,Y,1,1,3,2
NA,0.942727,0.092632,1624,1Story,1995,Y,2,0,2,3
332357,0.668905,0.046123,2270,2Story,2007,Y,2,1,4,3
233044,0.006238,0.646595,1324,2Story,1993,Y,1,0,3,1
169024,0.366585,0.232003,1040,1Story,1963,Y,1,1,3,1
302027,0.662913,0.773263,1236,1Story,1996,Y,1,0,2,2
362111,0.992674,0.946105,1606,1Story,2006,Y,2,0,3,3
182291,0.027439,0.474799,1363,2Story,1950,Y,1,0,3,2
277528,0.03608,0.964036,1277,1Story,1970,Y,1,0,2,2
398864,0.593365,0.38165,1792,1Story,2004,Y,2,0,2,3
NA,0.943416,0.890534,1103,1Story,1980,Y,1,0,2,2
NA,0.590249,0.239839,1736,1Story,2008,Y,2,0,3,3
266571,0.363476,0.126634,1596,2Story,2005,Y,2,1,3,2
201459,0.15459,0.267071,1464,2Story,2002,Y,2,0,3,0
202068,0.390779,0.634488,912,1Story,1962,Y,1,0,2,1
289749,0.206403,0.650764,1775,2Story,1993,Y,2,1,3,2
213730,0.06196,0.051146,1142,1Story,1958,Y,1,0,2,1
218299,0.245766,0.199188,1269,1Story,1960,Y,1,1,3,1
328097,0.462789,0.449601,1986,2Story,1990,Y,2,1,3,2
295125,0.400382,0.538164,1437,1Story,2004,Y,2,0,3,2
157023,0.632994,0.698393,864,1Story,1950,N,1,0,2,0
214565,0.926473,0.137862,936,1Story,1975,Y,1,0,2,1
225092,0.996564,0.248856,1392,2Story,1977,Y,1,1,3,1
313183,0.764866,0.939552,1728,2Story,2003,Y,2,1,3,2
361924,0.981974,0.565575,2022,2Story,1977,Y,2,1,4,2
263817,0.902571,0.6213,1261,1Story,1958,Y,1,0,3,2
339092,0.906194,0.869312,1566,1Story,2008,Y,2,0,3,2
294541,0.730894,0.128906,1341,1Story,2000,Y,1,1,1,2
258942,0.863402,0.247851,1285,SLvl,1977,Y,2,0,3,2
NA,0.878809,0.585384,1686,1Story,1980,Y,2,0,3,2
NA,0.507886,0.630834,1098,1Story,1955,Y,1,0,3,1
193043,0.737299,0.147302,1344,2Story,1990,N,1,1,3,2
166808,0.461805,0.213295,747,1Story,1950,Y,1,0,2,1
347786,0.57801,0.406386,1932,2Story,2003,Y,2,1,3,2
290507,0.654944,0.310707,1560,SLvl,1962,Y,2,0,3,2
278338,0.168103,0.368014,1121,1Story,2004,Y,2,0,2,2
288646,0.779247,0.127897,1484,1Story,2005,Y,2,0,3,2
NA,0.158764,0.067598,1050,1Story,1956,Y,1,0,2,1
247873,0.822591,0.710741,1268,1Story,1954,Y,1,0,2,1
174030,0.317594,0.147183,923,1Story,1985,Y,1,0,3,1
410895,0.86308,0.522467,1850,1Story,2005,Y,2,0,3,3
281793,0.149925,0.63482,1526,1Story,2002,Y,1,0,4,1
443431,0.952857,0.726678,2034,1Story,1953,Y,1,0,2,4
217186,0.34007,0.701861,1057,1Story,1962,Y,1,0,3,2
335755,0.737093,0.468949,1448,1Story,2007,Y,2,0,2,2
292419,0.10944,0.97971,1325,1Story,2005,Y,2,0,3,2
175603,0.10929,0.950904,936,1Story,1950,Y,1,0,2,0
382252,0.947865,0.520045,1830,1Story,1967,Y,1,0,2,2
200743,0.777199,0.222314,1158,1Story,2004,Y,1,1,3,0
196930,0.88419,0.378253,1228,2Story,1990,Y,1,0,3,1
280338,0.72665,0.028633,1327,1Story,2002,Y,1,0,3,2
301222,0.871812,0.042376,1812,2Story,2004,Y,2,1,3,2
366420,0.587309,0.510379,1718,1Story,2007,Y,2,0,3,3
282612,0.347482,0.756877,1561,1Story,1960,Y,2,0,3,2
321504,0.347751,0.954767,1600,1Story,2007,Y,2,0,3,3
NA,0.499963,0.213068,2495,2Story,1993,Y,2,1,4,2
345114,0.586594,0.461263,1537,1Story,2007,Y,2,0,3,3
222154,0.432327,0.324546,1248,1Story,1960,Y,1,0,3,1
402685,0.551941,0.333681,2014,1Story,1980,Y,2,0,2,3
407204,0.764736,0.940867,1922,1Story,2002,Y,2,0,2,3
222236,0.895606,0.495857,1316,2Story,1950,Y,1,0,2,1
205802,0.434987,0.093536,1098,2Story,1995,Y,1,0,2,1
391240,0.620364,0.897914,1944,1Story,2004,Y,2,0,3,3
370813,0.484879,0.155654,2234,2Story,2000,Y,2,1,3,3
226865,0.265768,0.792888,1230,2Story,1981,Y,1,1,2,2
300848,0.523681,0.805225,1812,2Story,2002,Y,2,1,3,2
287654,0.902658,0.262591,1894,2Story,2003,Y,2,1,4,2
197770,0.358171,0.025225,1024,1Story,1956,Y,1,0,2,1
197733,0.869808,0.936809,902,1Story,1967,Y,1,0,3,1
202561,0.558302,0.821295,922,1Story,1957,Y,1,0,2,1
289873,0.633324,0.780283,1749,2Story,1999,Y,2,1,3,2
317516,0.657859,0.824713,1968,2Story,1969,Y,2,1,4,2
NA,0.206451,0.538381,2064,2Story,2005,Y,2,1,4,2
228069,0.00798,0.892209,1556,2Story,1968,Y,1,1,4,2
232012,0.409197,0.978989,1143,1Story,2006,Y,1,1,3,0
240862,0.935207,0.34623,1215,1Story,1998,Y,1,0,3,1
232549,0.070007,0.038864,1003,SLvl,1984,Y,1,0,3,2
323025,0.255268,0.673037,2263,2Story,1994,Y,2,1,3,2
254493,0.062223,0.474984,1604,2Story,1998,Y,2,1,3,2
281094,0.674411,0.71688,1344,1Story,1983,Y,1,0,2,1
212842,0.074901,0.094522,1352,2Story,2006,Y,2,0,4,2
265837,0.31191,0.288853,1412,1Story,1988,Y,2,0,3,2
270200,0.922531,0.402485,1146,SLvl,2003,Y,2,0,3,2
298190,0.846225,0.081478,1725,SLvl,1979,Y,2,1,3,2
284232,0.657345,0.445729,1119,SLvl,2005,Y,2,0,2,2
292260,0.608257,0.517806,1430,1Story,2002,Y,2,0,3,2
256119,0.62619,0.342154,1246,SLvl,1964,Y,1,0,3,2
160053,0.291452,0.25725,894,1Story,1960,Y,1,0,3,1
302282,0.674093,0.05675,1630,2Story,2005,Y,2,1,3,2
376957,0.590456,0.391758,2064,1Story,1978,Y,2,0,3,2
NA,0.357443,0.51404,1032,1Story,1950,N,1,0,2,1
401264,0.603554,0.7377,2452,2Story,2005,Y,3,1,4,3
345504,0.530272,0.101696,1704,1Story,2008,Y,2,0,3,3
250083,0.202253,0.728081,1661,2Story,1996,Y,2,1,3,2
240120,0.746219,0.67712,1145,SLvl,1956,Y,1,0,3,2
281222,0.821886,0.90374,1772,2Story,1999,N,2,1,3,2
243739,0.101934,0.332572,1666,2Story,1996,Y,1,0,3,1
182719,0.400441,0.998755,984,1Story,1965,Y,1,0,3,1
313772,0.20947,0.844383,2495,2Story,1999,Y,2,0,5,2
244572,0.954724,0.772222,1052,SLvl,1971,Y,1,0,3,2
300698,0.868379,0.814872,1665,2Story,2001,Y,2,1,3,2
213929,0.910348,0.025744,882,1Story,1972,Y,1,0,3,2
341992,0.786284,0.464506,1721,1Story,2005,Y,2,0,3,2
216471,0.149244,0.210882,988,1Story,1954,Y,1,0,2,2
297334,0.36429,0.19779,2048,2Story,2004,Y,2,1,3,2
306218,0.8857,0.200549,2466,2Story,2005,Y,3,0,4,2
327180,0.976359,0.657891,1728,1Story,1956,Y,2,0,3,2
246891,0.66385,0.879062,1442,1Story,1958,Y,1,1,4,1
312323,0.011855,0.301052,1679,1Story,1998,Y,2,0,3,2
269726,0.370931,0.431743,1857,2Story,1978,Y,2,1,4,2
303981,0.401711,0.827821,2784,2Story,1978,Y,3,1,5,2
254146,0.522792,0.039883,912,1Story,2008,Y,1,0,2,2
262612,0.146664,0.985083,1178,1Story,2000,Y,1,1,3,2
330368,0.254986,0.366807,1546,1Story,2006,Y,2,0,3,3
184915,0.013733,0.907015,816,1Story,1950,Y,1,0,2,1
256114,0.126874,0.80955,1347,1Story,1957,Y,1,0,3,2
322413,0.516276,0.388391,1776,2Story,2002,Y,2,1,3,2
NA,0.476307,0.473587,1344,2Story,1997,Y,1,0,3,1
NA,0.947439,0.97866,1285,1Story,1977,Y,1,1,3,2
183891,0.264085,0.805653,672,1Story,1997,Y,1,0,2,1
268946,0.481561,0.984717,1806,2Story,1964,Y,1,1,4,2
424234,0.400144,0.708551,2690,2Story,2003,Y,2,1,4,3
322454,0.749502,0.207661,1602,1Story,2007,Y,2,0,3,3
